Type,Sentence,Grammatical,Is Training,Critical String,Region Start,Region End
<S_FG>,I know what the attempt to repair eventually damaged nevertheless,True,True,nevertheless,53,65
<S_FG>,I know what the attempt to fix eventually damaged nevertheless,True,True,nevertheless,50,62
<S_FG>,I know what the attempt to overhaul eventually damaged nevertheless,True,True,nevertheless,55,67
<S_FG>,I know what the attempt to rebuild eventually damaged nevertheless,True,True,nevertheless,54,66
<S_FG>,I know what the attempt to repair finally damaged nevertheless,True,True,nevertheless,50,62
<S_FG>,I know what the attempt to fix finally damaged nevertheless,True,True,nevertheless,47,59
<S_FG>,I know what the attempt to overhaul finally damaged nevertheless,True,True,nevertheless,52,64
<S_FG>,I know what the attempt to rebuild finally damaged nevertheless,True,True,nevertheless,51,63
<S_FG>,I know what the attempt to repair eventually destroyed nevertheless,True,True,nevertheless,55,67
<S_FG>,I know what the attempt to fix eventually destroyed nevertheless,True,True,nevertheless,52,64
<S_FG>,I know what the attempt to overhaul eventually destroyed nevertheless,True,True,nevertheless,57,69
<S_FG>,I know what the attempt to rebuild eventually destroyed nevertheless,True,True,nevertheless,56,68
<S_FG>,I know what the attempt to repair finally destroyed nevertheless,True,True,nevertheless,52,64
<S_FG>,I know what the attempt to fix finally destroyed nevertheless,True,True,nevertheless,49,61
<S_FG>,I know what the attempt to overhaul finally destroyed nevertheless,True,True,nevertheless,54,66
<S_FG>,I know what the attempt to rebuild finally destroyed nevertheless,True,True,nevertheless,53,65
<S_FG>,I know what the attempt to repair eventually ruined nevertheless,True,True,nevertheless,52,64
<S_FG>,I know what the attempt to fix eventually ruined nevertheless,True,True,nevertheless,49,61
<S_FG>,I know what the attempt to overhaul eventually ruined nevertheless,True,True,nevertheless,54,66
<S_FG>,I know what the attempt to rebuild eventually ruined nevertheless,True,True,nevertheless,53,65
<S_FG>,I know what the attempt to repair finally ruined nevertheless,True,True,nevertheless,49,61
<S_FG>,I know what the attempt to fix finally ruined nevertheless,True,True,nevertheless,46,58
<S_FG>,I know what the attempt to overhaul finally ruined nevertheless,True,True,nevertheless,51,63
<S_FG>,I know what the attempt to rebuild finally ruined nevertheless,True,True,nevertheless,50,62
<S_FG>,I know what the attempt to repair eventually wrecked nevertheless,True,True,nevertheless,53,65
<S_FG>,I know what the attempt to fix eventually wrecked nevertheless,True,True,nevertheless,50,62
<S_FG>,I know what the attempt to overhaul eventually wrecked nevertheless,True,True,nevertheless,55,67
<S_FG>,I know what the attempt to rebuild eventually wrecked nevertheless,True,True,nevertheless,54,66
<S_FG>,I know what the attempt to repair finally wrecked nevertheless,True,True,nevertheless,50,62
<S_FG>,I know what the attempt to fix finally wrecked nevertheless,True,True,nevertheless,47,59
